geoid,state_fips,state,name_county,name.x,population,median_income,median_home_value,median_age,vacancy_rate,longitude,latitude,climate_val,climate_flag,growing_val,growing_flag,type,type_name,clean_name
3649121,36,NY,Westchester,"Mount Vernon city, New York",72528,77171,449600,41.9,0.05985755908060861,-73.82908758339,40.91363600228669,0.4672312228698462,FALSE,10.357303717108802,TRUE,risk,City at Risk,Mount Vernon
3650617,36,NY,Westchester,"New Rochelle city, New York",81591,103813,667300,41.9,0.039050345385524925,-73.78370116116123,40.93065055985147,0.4672312228698462,FALSE,7.587004951673629,TRUE,risk,City at Risk,New Rochelle
3651000,36,NY,Kings,"New York city, New York",8516202,79713,751700,38,0.09221632616381398,-73.92457049382521,40.69570278847589,0.4756319782716117,FALSE,5.033661312626453,TRUE,risk,City at Risk,New York
3663000,36,NY,Monroe,"Rochester city, New York",209720,46628,120600,33.5,0.10675925656894364,-77.61625178902607,43.167990839537296,0.4042475791974644,FALSE,2.9059387518636495,TRUE,risk,City at Risk,Rochester
3665508,36,NY,Schenectady,"Schenectady city, New York",68521,56398,152000,35.8,0.0820943143385872,-73.92756022051127,42.80251460698329,0.49241547452213874,FALSE,3.650184760801129,TRUE,risk,City at Risk,Schenectady
3673000,36,NY,Onondaga,"Syracuse city, New York",146211,45845,125100,31.9,0.13012985107475608,-76.14371717451131,43.04069914142586,0.43286379505852546,FALSE,3.033334800045107,TRUE,risk,City at Risk,Syracuse
3675484,36,NY,Rensselaer,"Troy city, New York",51054,57688,192500,33,0.1493257799409559,-73.67514926447662,42.73540684071735,0.6085846310073572,FALSE,2.397199793693944,TRUE,risk,City at Risk,Troy
3676540,36,NY,Oneida,"Utica city, New York",64440,51513,133400,35,0.11796246648793565,-75.22607168831875,43.09615417473859,0.4664621292328068,FALSE,4.413276362633435,TRUE,risk,City at Risk,Utica
3681677,36,NY,Westchester,"White Plains city, New York",59818,115586,624100,41.5,0.075615585992336,-73.75468762714186,41.022035602639974,0.4672312228698462,FALSE,3.9141392149456506,TRUE,risk,City at Risk,White Plains
3684000,36,NY,Westchester,"Yonkers city, New York",209529,81816,478000,39,0.03936744940430049,-73.86737725021422,40.946630214705614,0.4672312228698462,FALSE,8.387373724695593,TRUE,risk,City at Risk,Yonkers
3701520,37,NC,Wake,"Apex town, North Carolina",67765,138442,514800,36,0.05069985684746302,-78.87827537341873,35.72479431231191,0.32407756285845474,TRUE,81.97954423071513,TRUE,destination,Destination City,Apex
3702140,37,NC,Buncombe,"Asheville city, North Carolina",94369,67221,411000,40.7,0.22554447384490128,-82.55369313155519,35.57056707888428,0.5208844653253145,FALSE,14.248392992570562,TRUE,risk,City at Risk,Asheville
3709060,37,NC,Alamance,"Burlington city, North Carolina",58599,54941,188700,39.6,0.09039714380359969,-79.46799038887809,36.076342067199896,0.4370853240108227,FALSE,17.228702442168796,TRUE,risk,City at Risk,Burlington
3710740,37,NC,Wake,"Cary town, North Carolina",176686,129399,525200,39.8,0.06429495828399923,-78.82037607738756,35.78225022184075,0.32407756285845474,TRUE,30.03341531294886,TRUE,destination,Destination City,Cary
3711800,37,NC,Orange,"Chapel Hill town, North Carolina",59889,85825,576500,25.8,0.10743374272786038,-79.03920768138174,35.9272265556955,0.38410124417822133,TRUE,5.281755188800422,TRUE,destination,Destination City,Chapel Hill
3712000,37,NC,Mecklenburg,"Charlotte city, North Carolina",886283,78438,351500,34.4,0.07608069901620888,-80.83047126502599,35.20849457365186,0.3643404885007191,TRUE,22.99469647144749,TRUE,destination,Destination City,Charlotte
3714100,37,NC,Cabarrus,"Concord city, North Carolina",106518,84752,327600,36.2,0.1281622855529146,-80.636825635259,35.393188340754236,0.4072505529178926,FALSE,38.58811958429619,TRUE,risk,City at Risk,Concord
3719000,37,NC,Durham,"Durham city, North Carolina",288465,79234,355300,34.8,0.07184790462427745,-78.89925517902664,35.97831996816526,0.3458737924379863,TRUE,28.577788114221818,TRUE,destination,Destination City,Durham
3722920,37,NC,Cumberland,"Fayetteville city, North Carolina",209692,56395,171900,30.7,0.10743738295239243,-78.97724373888468,35.08497505269454,0.44737554660152007,FALSE,5.799607400575612,TRUE,risk,City at Risk,Fayetteville
3725580,37,NC,Gaston,"Gastonia city, North Carolina",81632,60554,250000,37.2,0.08680625558019642,-81.18570192361646,35.24849334671963,0.41546908604791,FALSE,18.240150302935447,TRUE,risk,City at Risk,Gastonia
3728000,37,NC,Guilford,"Greensboro city, North Carolina",298564,58884,221300,34.1,0.09265900497884925,-79.82426943725018,36.09469088116923,0.43082453419841704,FALSE,11.840138590423777,TRUE,risk,City at Risk,Greensboro
3728080,37,NC,Pitt,"Greenville city, North Carolina",88540,50564,213100,28,0.11075021428249199,-77.37622322273465,35.594299888575414,0.4288022126477755,FALSE,4.694395634651729,TRUE,risk,City at Risk,Greenville
3731400,37,NC,Guilford,"High Point city, North Carolina",115263,61228,212400,37.8,0.08056746274749949,-79.99369605068017,35.991191169083045,0.43082453419841704,FALSE,11.313740857546065,TRUE,risk,City at Risk,High Point
3733120,37,NC,Mecklenburg,"Huntersville town, North Carolina",62458,119951,439300,39.9,0.038104126932597494,-80.8712430111798,35.40604285955872,0.3643404885007191,TRUE,35.270693218022394,TRUE,destination,Destination City,Huntersville
3734200,37,NC,Onslow,"Jacksonville city, North Carolina",73507,54069,191700,23.3,0.11487115802545793,-77.39411384268173,34.72908174976775,0.5256722026801781,FALSE,5.929718537744735,TRUE,risk,City at Risk,Jacksonville
3735200,37,NC,Cabarrus,"Kannapolis city, North Carolina",56470,70691,245500,37.7,0.1277066210521924,-80.63954344326828,35.478914907874255,0.4072505529178926,FALSE,38.55102855675125,TRUE,risk,City at Risk,Kannapolis
3744220,37,NC,Iredell,"Mooresville town, North Carolina",51447,88592,348500,36.6,0.06810700542445176,-80.82676262742811,35.58472116111015,0.4129521108765362,FALSE,65.31313634324503,TRUE,risk,City at Risk,Mooresville
3755000,37,NC,Wake,"Raleigh city, North Carolina",470763,82424,377800,34.7,0.09750687442713107,-78.641701619572,35.832346326032514,0.32407756285845474,TRUE,18.89123793690058,TRUE,destination,Destination City,Raleigh
3757500,37,NC,Nash,"Rocky Mount city, North Carolina",54175,52927,148300,41.8,0.14390802898122135,-77.80442137892324,35.9684339757094,0.3972072967050153,FALSE,-3.3580883002850563,FALSE,origin,Origin City,Rocky Mount
3770540,37,NC,Wake,"Wake Forest town, North Carolina",51199,120777,435000,38.8,0.051051848703782404,-78.51225596899519,35.96349408925535,0.32407756285845474,TRUE,72.6452921419417,TRUE,destination,Destination City,Wake Forest
3774440,37,NC,New Hanover,"Wilmington city, North Carolina",118578,63900,350300,37.5,0.09876119500555665,-77.88663635020066,34.20995041761739,0.47160036388485593,FALSE,13.561965245650997,TRUE,risk,City at Risk,Wilmington
3775000,37,NC,Forsyth,"Winston-Salem city, North Carolina",250887,57673,208200,35.6,0.11603388545587574,-80.26068035945718,36.10285324656194,0.4370991439020945,FALSE,10.763193848395648,TRUE,risk,City at Risk,Winston-Salem
3807200,38,ND,Burleigh,"Bismarck city, North Dakota",74146,77608,291400,38.2,0.0758636520142316,-100.76944229479385,46.81423921156563,0.39479665154551197,FALSE,16.193380229008465,TRUE,risk,City at Risk,Bismarck
3825700,38,ND,Cass,"Fargo city, North Dakota",129064,66029,269800,32.2,0.07198822356237239,-96.82944602834058,46.86430898233473,0.3732864428021199,TRUE,21.373712249162555,TRUE,destination,Destination City,Fargo
3832060,38,ND,Grand Forks,"Grand Forks city, North Dakota",58882,63838,243300,29.4,0.07179983510771767,-97.08783810038655,47.922004528247136,0.44282557270293244,FALSE,10.627695230662662,TRUE,risk,City at Risk,Grand Forks
3901000,39,OH,Summit,"Akron city, Ohio",189526,48544,111200,37.2,0.1031945499074896,-81.52191715948634,41.079837771033816,0.40892454766904024,FALSE,-2.329634346969711,FALSE,origin,Origin City,Akron
3912000,39,OH,Stark,"Canton city, Ohio",70105,39754,94400,36.1,0.12652061028618106,-81.36727728746614,40.807925385639955,0.4262912130657845,FALSE,-2.9756403630245023,FALSE,origin,Origin City,Canton
